"code_commune","nom_ville","code_postal","dpt_ville","population","longitude","latitude"
"10387","troyes","10000","10","61500","4.08333","48.3"
"1053","bourg en bresse","1000","1","40200","5.21667","46.2"
"11069","carcassonne","11000","11","47600","2.35","43.2167"
"11262","narbonne","11100","11","51000","3.0000","43.1833"
"13001","aix en provence","13080-13090-13100-13290-13540","13","142700","5.43333","43.5333"
"13004","arles","13104-13123-13129-13200-13280","13","52700","4.63333","43.6667"
"13005","aubagne","13400","13","46100","5.56667","43.2833"
"13047","istres","13118-13800","13","42600","4.98333","43.5167"
"13055","marseille","13001-13002-13003-13004-13005-13006-13007-13008-13009-13010-13011-13012-13013-13014-13015-13016","13","851400","5.37639","43.2967"
"13056","martigues","13117-13500","13","46500","5.05","43.4"
"13103","salon de provence","13300","13","41400","5.1","43.6333"
"13117","vitrolles","13127","13","36600","5.25","43.4667"
"14118","caen","14000","14","109900","-0.35","49.1833"
"16015","angouleme","16000","16","43100","0.15","45.65"
"17300","la rochelle","17000","17","75800","-1.15","46.1667"
"18033","bourges","18000","18","69000","2.4","47.0833"
"19031","brive la gaillarde","19100","19","49700","1.53333","45.15"
"21231","dijon","21000-21100","21","151600","5.01667","47.3167"
"22278","saint brieuc","22000","22","45900","-2.78333","48.5167"
"25056","besancon","25000","25","117600","6.03333","47.25"
"26362","valence","26000","26","64500","4.9","44.9333"
"2691","saint quentin","2100","2","56800","3.28333","49.85"
"27229","evreux","27000","27","50800","1.15","49.0167"
"28085","chartres","28000","28","39200","1.5","48.45"
"29019","brest","29200","29","142100","-4.48333","48.4"
"29232","quimper","29000","29","63900","-4.1","48.0000"
"2A004","ajaccio","20000-20090","2A","65200","8.7364","41.9256"
"2B033","bastia","20200-20600","2B","43500","9.44945","42.7"
"30007","ales","30100","30","40500","4.08333","44.1333"
"30189","nimes","30000-30900","30","140300","4.35","43.8333"
"31555","toulouse","31000-31100-31200-31300-31400-31500","31","439600","1.43333","43.6"
"3185","montlucon","3100","3","39500","2.6","46.3333"
"33063","bordeaux","33000-33100-33200-33300-33800","33","235900","-0.566667","44.8333"
"33281","merignac","33700","33","66100","-0.633333","44.8333"
"33318","pessac","33600","33","57600","-0.616667","44.8"
"33522","talence","33400","33","40600","-0.6","44.8167"
"34032","beziers","34500","34","71700","3.25","43.35"
"34172","montpellier","34000-34070-34080-34090","34","253000","3.88333","43.6"
"34301","sete","34200","34","42800","3.68333","43.4"
"35238","rennes","35000-35200-35700","35","206700","-1.68333","48.0833"
"35288","saint malo","35400","35","48200","-2.01667","48.65"
"36044","chateauroux","36000","36","46000","1.7","46.8167"
"37261","tours","37000-37100-37200","37","135500","0.683333","47.3833"
"38185","grenoble","38000-38100","38","156700","5.71667","45.1667"
"41018","blois","41000","41","46800","1.33333","47.5833"
"42218","saint etienne","42000-42100-42230","42","172700","4.4","45.4333"
"44109","nantes","44000-44100-44200-44300","44","283300","-1.55","47.2167"
"44143","reze","44400","44","37900","-1.56667","47.2"
"44162","saint herblain","44800","44","43200","-1.65","47.2167"
"44184","saint nazaire","44600","44","66900","-2.2","47.2833"
"45234","orleans","45000-45100","45","113300","1.9","47.9167"
"49007","angers","49000-49100","49","148400","-0.55","47.4667"
"49099","cholet","49280","49","54100","-0.883333","47.0667"
"50129","cherbourg octeville","50100-50130","50","39800","-1.65","49.65"
"5061","gap","5000","5","38600","6.08333","44.5667"
"51108","chalons en champagne","51000","51","46100","4.36667","48.9583"
"51454","reims","51100","51","181500","4.03333","49.25"
"53130","laval","53000","53","50900","-0.766667","48.0667"
"54395","nancy","54100","54","106400","6.2","48.6833"
"56121","lorient","56100","56","58100","-3.36667","47.75"
"56260","vannes","56000","56","53000","-2.75","47.6667"
"57463","metz","57000-57050-57070","57","122800","6.16667","49.1333"
"57672","thionville","57100","57","41100","6.16667","49.3667"
"58194","nevers","58000","58","37600","3.16667","46.9833"
"59009","villeneuve d ascq","59491-59493-59650","59","62700","3.14167","50.6833"
"59178","douai","59500","59","42400","3.06667","50.3667"
"59183","dunkerque","59140-59240-59430-59640-59279","59","93600","2.36667","51.05"
"59350","lille","59000-59160-59260-59777-59800","59","225800","3.06667","50.6333"
"59378","marcq en baroeul","59700","59","38900","3.08333","50.6667"
"59512","roubaix","59100","59","95900","3.16667","50.7"
"59599","tourcoing","59200","59","92600","3.15","50.7167"
"59606","valenciennes","59300","59","42700","3.53333","50.35"
"59650","wattrelos","59150","59","41800","3.21667","50.7"
"6004","antibes","06600-06160","6","77000","7.11667","43.5833"
"60057","beauvais","60155","60","55000","2.08333","49.4333"
"60159","compiegne","60200","60","41600","2.83333","49.4167"
"6027","cagnes sur mer","6800","6","48900","7.15","43.6667"
"6029","cannes","06400-06150","6","72900","7.01667","43.55"
"6030","le cannet","6110","6","40900","7.01667","43.5667"
"6069","grasse","06130-06520","6","51600","6.91667","43.6667"
"6088","nice","06000-06100-06200-06300","6","344900","7.25","43.7"
"62041","arras","62000","62","42800","2.78333","50.2833"
